戦略,戦略タイプ,利確pips,損切りpips,時間帯,曜日,トレンド環境,ボラ環境,学習_取引回数,学習_1日平均回数,学習_勝率%,学習_総損益pips,学習_期待値pips/回,学習_総利益pips,学習_総損失pips,学習_平均利益pips,学習_平均損失pips,学習_損益比,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_1日平均回数,検証_勝率%,検証_総損益pips,検証_期待値pips/回,検証_総利益pips,検証_総損失pips,検証_平均利益pips,検証_平均損失pips,検証_損益比,検証_PF,検証_最大DD_pips,検証_最大連敗,乖離率(検証PF/学習PF),総合スコア,判定
"RSI逆張り(期間10, 20/60)",RSI逆張り,25,10,9時台,全曜日,上昇のみ,なし,354,1.1,29.9,132.1,0.373,2594.6,2462.5,24.48,-9.93,2.465,1.054,-213.8,12,129,1.1,34.1,235.2,1.823,1085.2,850.0,24.66,-10.0,2.466,1.277,-100.0,10,1.212,67.1,採用候補
"MACDクロス(8,35,9)",MACDクロス,10,20,東京(9-15時),全曜日,下降のみ,ATR高,425,1.9,69.2,320.0,0.753,2940.0,2620.0,10.0,-20.0,0.5,1.122,-180.0,3,187,1.9,70.6,214.4,1.147,1314.4,1100.0,9.96,-20.0,0.498,1.195,-190.0,3,1.065,67.0,採用候補
"BBブレイク(期間30, 1.5σ)",BBブレイク,15,5,全時間,月,なし,ATR低,590,3.5,27.1,192.7,0.327,2337.6,2144.9,14.61,-4.99,2.929,1.09,-150.2,15,200,3.4,29.0,143.7,0.719,853.7,710.0,14.72,-5.0,2.944,1.202,-65.0,13,1.103,67.0,採用候補
"BBブレイク(期間20, 1.5σ)",BBブレイク,25,30,全時間,木,順方向のみ,ATR高,489,2.6,58.1,1018.4,2.083,6574.0,5555.6,23.15,-27.1,0.854,1.183,-314.2,6,159,2.6,59.1,486.6,3.06,2309.7,1823.1,24.57,-28.05,0.876,1.267,-189.2,4,1.071,66.9,採用候補
"BBブレイク(期間14, 2.5σ)",BBブレイク,20,30,全時間,木,順方向のみ,直近30分変動大,358,2.1,62.6,534.3,1.492,4275.5,3741.2,19.09,-27.92,0.684,1.143,-281.8,5,142,2.2,63.4,320.5,2.257,1760.0,1439.5,19.56,-27.68,0.706,1.223,-152.4,4,1.07,66.9,採用候補
"MACDクロス(16,35,9)",MACDクロス,10,5,ロンドン(16-21時),全曜日,なし,ATR低,485,1.8,37.1,226.7,0.467,1751.7,1525.0,9.73,-5.0,1.946,1.149,-135.0,9,207,1.6,37.2,115.9,0.56,765.9,650.0,9.95,-5.0,1.989,1.178,-55.0,9,1.025,66.8,採用候補
"MACDクロス(16,35,6)",MACDクロス,10,5,東京(9-15時),全曜日,順方向のみ,ATR低,490,1.3,36.7,247.2,0.504,1797.2,1550.0,9.98,-5.0,1.997,1.159,-90.0,12,166,1.4,36.7,85.0,0.512,610.0,525.0,10.0,-5.0,2.0,1.162,-45.0,9,1.003,66.6,採用候補
"BBブレイク(期間14, 1.5σ)",BBブレイク,30,30,東京(9-15時),全曜日,下降のみ,なし,787,1.4,52.9,1286.0,1.634,11609.1,10323.1,27.91,-27.83,1.003,1.125,-558.9,6,335,1.6,55.2,1147.5,3.425,5389.5,4242.0,29.13,-28.28,1.03,1.271,-240.0,5,1.13,66.5,採用候補
"BBブレイク(期間14, 1.5σ)",BBブレイク,30,15,全時間,木,順方向のみ,ATR高,570,3.0,36.7,485.2,0.851,5827.9,5342.7,27.88,-14.8,1.884,1.091,-466.6,15,184,2.9,38.0,379.1,2.06,2047.8,1668.7,29.25,-14.64,1.999,1.227,-135.0,6,1.125,66.5,採用候補
"BBブレイク(期間20, 2.0σ)",BBブレイク,20,8,ロンドン(16-21時),金,なし,なし,492,2.4,30.3,180.5,0.367,2913.0,2732.5,19.55,-7.97,2.454,1.066,-314.6,13,186,2.4,33.3,223.1,1.199,1215.1,992.0,19.6,-8.0,2.45,1.225,-104.0,9,1.149,66.4,採用候補
"EMAクロス(10,100)",EMAクロス,20,8,全時間,全曜日,下降のみ,なし,336,1.4,31.0,148.8,0.443,1982.4,1833.6,19.06,-7.9,2.412,1.081,-216.0,14,143,1.5,34.3,216.6,1.515,946.8,730.2,19.32,-7.77,2.487,1.297,-113.9,13,1.2,66.4,採用候補
"MACDクロス(12,26,12)",MACDクロス,15,5,ロンドン(16-21時),全曜日,レンジのみ,直近30分変動大,395,1.5,27.3,185.0,0.468,1620.0,1435.0,15.0,-5.0,3.0,1.129,-145.0,13,194,1.4,29.4,170.0,0.876,855.0,685.0,15.0,-5.0,3.0,1.248,-90.0,12,1.105,66.2,採用候補
"BBブレイク(期間20, 2.5σ)",BBブレイク,30,8,ロンドン(16-21時),全曜日,なし,ATR高,517,1.3,24.2,182.3,0.353,3292.7,3110.4,26.34,-7.93,3.32,1.059,-280.0,18,135,1.3,25.2,192.1,1.423,995.7,803.6,29.29,-7.96,3.681,1.239,-100.0,11,1.17,66.2,採用候補
"MACDクロス(16,26,9)",MACDクロス,30,12,東京(9-15時),全曜日,なし,ATR低,813,1.3,32.5,638.2,0.785,7097.0,6458.8,26.88,-11.76,2.285,1.099,-381.3,19,273,1.3,35.9,655.2,2.4,2725.9,2070.7,27.82,-11.83,2.351,1.316,-162.0,13,1.197,66.0,採用候補
"BBブレイク(期間30, 1.5σ)",BBブレイク,20,30,全時間,木,下降のみ,ATR高,349,2.8,64.2,791.6,2.268,4351.4,3559.8,19.43,-28.48,0.682,1.222,-230.0,7,123,2.7,64.2,306.8,2.494,1580.0,1273.2,20.0,-28.94,0.691,1.241,-173.1,4,1.016,65.9,採用候補
"MACDクロス(8,26,6)",MACDクロス,30,30,全時間,木,下降のみ,直近30分変動大,310,2.5,52.6,456.6,1.473,4685.4,4228.8,28.74,-28.77,0.999,1.108,-270.0,5,119,2.2,56.3,437.6,3.677,1938.6,1501.0,28.93,-28.87,1.002,1.292,-327.7,5,1.166,65.7,採用候補
"BBブレイク(期間20, 1.5σ)",BBブレイク,20,15,東京(9-15時),全曜日,下降のみ,直近30分変動大,715,2.0,46.2,800.8,1.12,6570.4,5769.6,19.91,-14.99,1.329,1.139,-495.0,8,372,2.0,47.0,529.0,1.422,3484.0,2955.0,19.91,-15.0,1.327,1.179,-115.0,7,1.035,65.5,採用候補
押し目(EMA200+RSI45/60),押し目,20,5,東京(9-15時),全曜日,順方向のみ,ATR低,312,1.2,21.5,84.5,0.271,1309.5,1225.0,19.54,-5.0,3.909,1.069,-165.0,17,102,1.2,24.5,115.0,1.127,500.0,385.0,20.0,-5.0,4.0,1.299,-110.0,21,1.215,65.4,採用候補
"MACDクロス(8,26,6)",MACDクロス,10,8,東京(9-15時),月,順方向のみ,なし,367,2.0,46.6,142.0,0.387,1710.0,1568.0,10.0,-8.0,1.25,1.091,-142.0,7,145,2.1,49.0,118.0,0.814,710.0,592.0,10.0,-8.0,1.25,1.199,-92.0,8,1.099,65.4,採用候補
"BB逆張り(期間25, 2.0σ)",BB逆張り,12,30,全時間,火,なし,ATR高,566,3.3,71.0,425.5,0.752,4756.9,4331.4,11.83,-26.41,0.448,1.098,-338.6,3,239,3.7,73.6,304.4,1.274,2100.7,1796.3,11.94,-28.51,0.419,1.169,-237.6,4,1.065,65.4,採用候補
"BB逆張り(期間25, 2.0σ)",BB逆張り,15,25,全時間,火,レンジのみ,直近30分変動大,318,2.1,66.0,466.8,1.468,3098.6,2631.8,14.76,-24.37,0.606,1.177,-340.0,5,166,2.6,66.3,223.2,1.345,1615.2,1392.0,14.68,-24.86,0.591,1.16,-136.8,4,0.986,65.3,採用候補
