戦略,戦略タイプ,利確pips,損切りpips,時間帯,曜日,トレンド環境,ボラ環境,学習_取引回数,学習_1日平均回数,学習_勝率%,学習_総損益pips,学習_平均利益pips,学習_平均損失pips,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_1日平均回数,検証_勝率%,検証_総損益pips,検証_平均利益pips,検証_平均損失pips,検証_PF,検証_最大DD_pips,検証_最大連敗,乖離率(検証PF/学習PF),総合スコア,判定
"EMAクロス(10,100)",EMAクロス,20,8,全時間,全曜日,下降のみ,なし,336,1.4,31.0,148.8,19.06,-7.9,1.081,-216.0,14,143,1.5,34.3,216.6,19.32,-7.77,1.297,-113.9,13,1.2,66.4,採用候補
"MACDクロス(12,26,12)",MACDクロス,15,5,ロンドン(16-21時),全曜日,レンジのみ,直近30分変動大,395,1.5,27.3,185.0,15.0,-5.0,1.129,-145.0,13,194,1.4,29.4,170.0,15.0,-5.0,1.248,-90.0,12,1.105,66.2,採用候補
"BBブレイク(期間20, 2.5σ)",BBブレイク,30,8,ロンドン(16-21時),全曜日,なし,ATR高,517,1.3,24.2,182.3,26.34,-7.93,1.059,-280.0,18,135,1.3,25.2,192.1,29.29,-7.96,1.239,-100.0,11,1.17,66.2,採用候補
"MACDクロス(16,26,9)",MACDクロス,30,12,東京(9-15時),全曜日,なし,ATR低,813,1.3,32.5,638.2,26.88,-11.76,1.099,-381.3,19,273,1.3,35.9,655.2,27.82,-11.83,1.316,-162.0,13,1.197,66.0,採用候補
"BBブレイク(期間30, 1.5σ)",BBブレイク,20,30,全時間,木,下降のみ,ATR高,349,2.8,64.2,791.6,19.43,-28.48,1.222,-230.0,7,123,2.7,64.2,306.8,20.0,-28.94,1.241,-173.1,4,1.016,65.9,採用候補
"MACDクロス(8,26,6)",MACDクロス,30,30,全時間,木,下降のみ,直近30分変動大,310,2.5,52.6,456.6,28.74,-28.77,1.108,-270.0,5,119,2.2,56.3,437.6,28.93,-28.87,1.292,-327.7,5,1.166,65.7,採用候補
"BBブレイク(期間20, 1.5σ)",BBブレイク,20,15,東京(9-15時),全曜日,下降のみ,直近30分変動大,715,2.0,46.2,800.8,19.91,-14.99,1.139,-495.0,8,372,2.0,47.0,529.0,19.91,-15.0,1.179,-115.0,7,1.035,65.5,採用候補
押し目(EMA200+RSI45/60),押し目,20,5,東京(9-15時),全曜日,順方向のみ,ATR低,312,1.2,21.5,84.5,19.54,-5.0,1.069,-165.0,17,102,1.2,24.5,115.0,20.0,-5.0,1.299,-110.0,21,1.215,65.4,採用候補
"MACDクロス(8,26,6)",MACDクロス,10,8,東京(9-15時),月,順方向のみ,なし,367,2.0,46.6,142.0,10.0,-8.0,1.091,-142.0,7,145,2.1,49.0,118.0,10.0,-8.0,1.199,-92.0,8,1.099,65.4,採用候補
"BB逆張り(期間25, 2.0σ)",BB逆張り,12,30,全時間,火,なし,ATR高,566,3.3,71.0,425.5,11.83,-26.41,1.098,-338.6,3,239,3.7,73.6,304.4,11.94,-28.51,1.169,-237.6,4,1.065,65.4,採用候補
"BB逆張り(期間25, 2.0σ)",BB逆張り,15,25,全時間,火,レンジのみ,直近30分変動大,318,2.1,66.0,466.8,14.76,-24.37,1.177,-340.0,5,166,2.6,66.3,223.2,14.68,-24.86,1.16,-136.8,4,0.986,65.3,採用候補
"BBブレイク(期間20, 2.0σ)",BBブレイク,12,12,東京(9-15時),全曜日,順方向のみ,なし,1496,1.7,51.4,499.5,11.96,-11.97,1.057,-734.5,10,586,1.9,53.9,565.2,12.0,-11.95,1.175,-154.8,8,1.112,65.1,採用候補
"RSI逆張り(期間10, 25/70)",RSI逆張り,25,5,ロンドン(16-21時),金,なし,なし,430,2.3,20.0,312.0,23.58,-4.99,1.182,-177.9,14,129,2.1,22.5,171.0,23.14,-5.0,1.342,-145.2,16,1.135,65.1,採用候補
"BB逆張り(期間20, 1.5σ)",BB逆張り,20,8,16時台,全曜日,なし,ATR高,505,1.3,29.9,171.8,19.84,-7.98,1.061,-200.2,17,174,1.4,32.2,182.5,20.0,-7.94,1.195,-112.0,11,1.126,65.0,採用候補
"BBブレイク(期間25, 2.0σ)",BBブレイク,15,5,東京(9-15時),全曜日,順方向のみ,ATR低,492,1.3,27.6,260.0,15.0,-5.0,1.146,-105.0,16,190,1.4,28.4,130.0,15.0,-5.0,1.191,-80.0,16,1.039,64.9,採用候補
"BBブレイク(期間20, 2.0σ)",BBブレイク,15,15,東京(9-15時),全曜日,順方向のみ,直近30分変動大,973,1.6,51.6,482.4,14.96,-14.92,1.069,-525.0,9,432,1.7,53.5,462.8,15.0,-14.94,1.154,-182.2,6,1.08,64.8,採用候補
"BBブレイク(期間30, 2.0σ)",BBブレイク,30,12,東京(9-15時),全曜日,上昇のみ,ATR低,380,1.1,32.9,395.7,27.25,-11.8,1.131,-384.2,11,137,1.2,32.8,196.3,28.39,-11.75,1.182,-115.3,7,1.045,64.7,採用候補
"BB逆張り(期間14, 2.0σ)",BB逆張り,15,15,全時間,金,下降のみ,なし,782,4.6,51.7,385.9,14.88,-14.88,1.069,-285.0,8,288,4.6,53.5,308.9,14.95,-14.88,1.155,-180.0,6,1.08,64.6,採用候補
"EMAクロス(5,30)",EMAクロス,30,8,全時間,金,下降のみ,直近30分変動大,351,2.6,23.6,254.3,28.9,-8.0,1.119,-390.6,19,156,2.9,25.6,269.4,29.79,-7.95,1.292,-198.6,14,1.155,64.6,採用候補
"BB逆張り(期間20, 2.0σ)",BB逆張り,30,15,全時間,木,順方向のみ,なし,490,2.4,36.5,265.7,27.03,-14.7,1.058,-496.5,13,203,2.6,37.9,369.3,28.74,-14.63,1.2,-204.7,8,1.134,64.4,採用候補
"BB逆張り(期間25, 2.0σ)",BB逆張り,30,10,ロンドン(16-21時),全曜日,順方向のみ,なし,478,1.1,29.7,274.4,25.2,-9.83,1.083,-227.5,16,207,1.2,31.4,300.3,25.98,-9.78,1.216,-180.0,10,1.123,64.4,採用候補
押し目(EMA200+RSI45/65),押し目,30,12,9時台,全曜日,レンジのみ,なし,327,1.1,33.0,448.5,28.1,-11.81,1.173,-318.0,13,107,1.1,33.6,203.2,29.31,-12.0,1.238,-120.0,10,1.055,64.4,採用候補
押し目(EMA200+RSI40/55),押し目,25,8,東京(9-15時),木,なし,なし,313,1.8,26.5,140.2,23.86,-8.0,1.076,-225.0,15,127,1.9,27.6,139.0,25.0,-8.0,1.189,-133.0,8,1.105,64.1,採用候補
"EMAクロス(10,50)",EMAクロス,25,20,東京(9-15時),全曜日,レンジのみ,なし,515,1.1,47.2,616.4,23.84,-19.03,1.119,-284.0,8,192,1.1,49.0,332.5,23.71,-19.34,1.175,-203.6,6,1.05,64.0,採用候補
"EMAクロス(5,50)",EMAクロス,15,5,東京(9-15時),全曜日,なし,ATR高,546,1.9,27.3,250.0,15.0,-5.0,1.126,-205.0,25,235,1.9,28.1,145.0,15.0,-5.0,1.172,-105.0,17,1.041,63.9,採用候補
"RSI逆張り(期間14, 40/70)",RSI逆張り,30,10,ロンドン(16-21時),全曜日,上昇のみ,直近30分変動大,342,1.4,28.1,227.3,27.9,-9.96,1.093,-279.2,13,138,1.5,29.7,178.5,28.01,-10.0,1.184,-130.0,10,1.083,63.9,採用候補
"MACDクロス(8,26,6)",MACDクロス,15,8,全時間,木,順方向のみ,ATR高,579,3.3,38.9,517.0,14.85,-7.98,1.183,-164.0,19,191,3.2,38.2,151.0,15.0,-8.0,1.16,-101.0,9,0.981,63.6,採用候補
"MACDクロス(8,21,12)",MACDクロス,25,10,16時台,全曜日,なし,ATR高,384,1.3,32.0,438.8,24.75,-9.98,1.168,-225.0,13,122,1.2,32.8,146.5,24.09,-9.96,1.179,-120.0,8,1.009,63.5,採用候補
"BBブレイク(期間14, 1.5σ)",BBブレイク,25,12,全時間,月,下降のみ,直近30分変動大,479,3.9,34.9,344.8,24.19,-11.84,1.093,-192.0,8,255,4.2,36.9,342.0,24.09,-11.94,1.178,-187.2,11,1.078,63.4,採用候補
"MACDクロス(12,26,6)",MACDクロス,20,12,10時台,全曜日,なし,直近30分変動大,304,1.1,38.8,123.0,19.87,-11.94,1.055,-216.0,9,132,1.1,40.9,144.0,20.0,-12.0,1.154,-176.0,7,1.094,63.3,採用候補
"BBブレイク(期間30, 2.0σ)",BBブレイク,25,12,全時間,木,順方向のみ,ATR高,445,2.5,36.6,507.4,23.55,-11.81,1.152,-288.6,14,124,2.3,35.5,153.1,25.0,-11.84,1.162,-141.6,7,1.009,63.2,採用候補
"EMAクロス(12,30)",EMAクロス,12,12,全時間,月,下降のみ,なし,311,2.3,55.9,434.8,11.71,-11.7,1.271,-120.0,6,136,2.5,54.4,124.4,11.74,-12.0,1.167,-120.0,6,0.918,62.8,採用候補
"BBブレイク(期間14, 1.5σ)",BBブレイク,25,8,東京(9-15時),全曜日,順方向のみ,ATR低,600,1.2,28.5,681.4,23.96,-7.96,1.199,-190.9,13,216,1.3,27.8,238.6,24.56,-7.92,1.193,-159.0,12,0.995,62.6,採用候補
"BB逆張り(期間20, 2.5σ)",BB逆張り,25,30,全時間,火,なし,直近30分変動大,590,2.9,56.1,887.6,23.47,-26.57,1.129,-408.0,6,264,3.5,58.3,472.4,23.33,-28.37,1.151,-382.6,7,1.019,62.3,採用候補
"BB逆張り(期間20, 2.5σ)",BB逆張り,30,25,全時間,火,上昇のみ,なし,332,1.9,49.1,383.0,26.31,-23.11,1.098,-535.5,7,125,2.2,50.4,279.6,27.14,-23.07,1.195,-347.1,10,1.088,62.1,採用候補
"RSI逆張り(期間7, 20/80)",RSI逆張り,25,5,全時間,全曜日,順方向のみ,直近30分変動大,470,1.2,19.4,187.6,22.77,-4.97,1.1,-192.9,23,229,1.3,18.8,145.0,25.0,-5.0,1.156,-185.0,27,1.051,61.9,採用候補
"RSI逆張り(期間7, 30/65)",RSI逆張り,30,5,東京(9-15時),金,なし,ATR高,383,3.2,16.7,325.0,30.0,-5.0,1.204,-295.0,24,134,3.0,16.4,93.1,29.69,-5.0,1.166,-105.0,18,0.968,61.7,採用候補
"MACDクロス(12,21,6)",MACDクロス,25,5,東京(9-15時),木,下降のみ,なし,322,2.8,17.7,80.0,24.57,-4.98,1.061,-90.0,16,155,3.8,18.7,95.0,25.0,-5.0,1.151,-170.0,21,1.085,61.5,採用候補
