戦略,戦略タイプ,利確pips,損切りpips,時間帯,曜日,トレンド環境,ボラ環境,学習_取引回数,学習_1日平均回数,学習_勝率%,学習_総損益pips,学習_平均利益pips,学習_平均損失pips,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_1日平均回数,検証_勝率%,検証_総損益pips,検証_平均利益pips,検証_平均損失pips,検証_PF,検証_最大DD_pips,検証_最大連敗,乖離率(検証PF/学習PF),総合スコア,判定
"MACDクロス(8,26,12)",MACDクロス,5,8,全時間,水,順方向のみ,ATR高,364,2.9,59.6,-92.6,4.99,-8.0,0.921,-137.6,7,131,2.9,53.4,-138.0,5.0,-8.0,0.717,-186.0,6,0.779,29.1,不採用
"BB逆張り(期間25, 2.0σ)",BB逆張り,8,15,全時間,木,下降のみ,なし,780,4.9,62.4,-485.6,7.97,-14.9,0.889,-650.0,6,306,5.1,59.5,-399.5,8.0,-14.96,0.785,-464.5,6,0.883,29.1,不採用
"MACDクロス(12,26,9)",MACDクロス,6,25,16時台,全曜日,上昇のみ,なし,331,1.1,77.0,-280.6,5.99,-23.8,0.845,-490.1,5,126,1.1,73.0,-270.2,6.0,-24.18,0.671,-293.2,3,0.794,29.1,不採用
"MACDクロス(8,35,9)",MACDクロス,6,10,全時間,水,下降のみ,ATR高,403,3.6,62.0,-21.7,6.0,-9.95,0.986,-250.0,6,204,5.2,55.9,-216.0,6.0,-10.0,0.76,-294.0,5,0.771,29.1,不採用
"MACDクロス(12,26,12)",MACDクロス,5,12,東京(9-15時),全曜日,下降のみ,ATR高,424,1.9,68.4,-158.0,5.0,-12.0,0.902,-291.0,6,195,1.9,63.1,-249.0,5.0,-12.0,0.712,-259.0,4,0.789,29.1,不採用
"EMAクロス(10,200)",EMAクロス,30,30,全時間,全曜日,レンジのみ,直近30分変動大,1092,1.5,49.2,-703.3,26.76,-27.16,0.953,-1282.3,8,494,1.5,45.3,-1074.8,27.27,-26.6,0.85,-1508.2,11,0.892,29.1,不採用
"MACDクロス(16,21,9)",MACDクロス,10,5,全時間,火,なし,ATR高,961,5.6,30.2,-455.0,10.0,-5.0,0.864,-505.0,17,386,6.0,28.2,-295.0,10.0,-5.0,0.787,-310.0,10,0.911,29.1,不採用
押し目(EMA200+RSI45/55),押し目,30,20,22時台,全曜日,なし,なし,638,1.1,46.6,292.3,18.7,-15.43,1.056,-402.2,10,275,1.1,43.6,-368.0,18.07,-16.37,0.855,-406.1,10,0.81,29.1,不採用
"MACDクロス(16,35,12)",MACDクロス,4,8,15時台,全曜日,なし,なし,693,1.2,62.2,-372.0,4.0,-8.0,0.823,-392.0,6,267,1.3,58.8,-252.0,4.0,-8.0,0.714,-288.0,5,0.868,29.1,不採用
"RSI逆張り(期間14, 35/65)",RSI逆張り,30,25,全時間,木,下降のみ,ATR高,343,2.7,41.1,-809.1,27.73,-23.36,0.829,-1078.2,11,107,2.4,41.1,-291.9,28.53,-24.56,0.811,-647.4,10,0.978,29.1,不採用
"BBブレイク(期間14, 2.0σ)",BBブレイク,6,8,ロンドン(16-21時),全曜日,レンジのみ,直近30分変動大,662,1.5,53.6,-326.0,6.0,-8.0,0.867,-428.0,7,256,1.6,50.0,-256.0,6.0,-8.0,0.75,-278.0,6,0.865,29.1,不採用
"EMAクロス(15,200)",EMAクロス,8,10,全時間,木,レンジのみ,なし,455,2.6,55.6,16.8,8.0,-9.94,1.008,-193.2,8,180,2.5,49.4,-204.3,7.93,-10.0,0.775,-240.3,6,0.769,29.1,不採用
"MACDクロス(16,26,6)",MACDクロス,6,12,全時間,全曜日,順方向のみ,なし,5366,4.4,63.2,-2958.7,5.97,-11.76,0.872,-3092.9,7,2259,5.0,62.1,-1767.6,5.98,-11.87,0.826,-1815.6,12,0.947,29.1,不採用
"RSI逆張り(期間7, 40/80)",RSI逆張り,15,5,ロンドン(16-21時),全曜日,順方向のみ,ATR高,383,1.7,26.1,58.5,14.74,-5.0,1.041,-180.0,21,108,1.7,20.4,-100.0,15.0,-5.0,0.767,-160.0,29,0.737,29.1,不採用
"BBブレイク(期間14, 2.5σ)",BBブレイク,12,5,全時間,全曜日,なし,ATR低,2011,2.3,25.1,-1611.0,11.71,-4.99,0.786,-1705.8,23,761,2.3,25.2,-592.7,11.67,-4.98,0.791,-667.0,15,1.006,29.1,不採用
"BBブレイク(期間30, 1.5σ)",BBブレイク,10,8,全時間,全曜日,なし,ATR高,5457,5.3,43.0,-1556.6,9.92,-7.98,0.937,-1942.9,14,2039,5.4,40.3,-1524.0,9.99,-7.98,0.843,-1631.8,12,0.9,29.1,不採用
"MACDクロス(12,21,6)",MACDクロス,15,15,ロンドン(16-21時),金,なし,なし,562,2.7,48.8,-182.4,14.8,-14.72,0.957,-455.9,9,223,2.9,45.3,-314.0,14.65,-14.7,0.825,-370.9,9,0.862,29.1,不採用
"BBブレイク(期間20, 1.5σ)",BBブレイク,25,5,ロンドン(16-21時),水,なし,なし,788,3.8,18.3,191.6,23.69,-5.0,1.06,-345.0,34,326,4.2,14.7,-210.7,24.57,-5.0,0.848,-340.0,29,0.8,29.1,不採用
押し目(EMA200+RSI40/55),押し目,15,10,全時間,金,なし,ATR高,925,5.0,39.9,-27.2,14.91,-9.95,0.995,-564.4,15,327,4.9,35.8,-331.4,15.0,-9.94,0.841,-405.0,12,0.845,29.1,不採用
"BB逆張り(期間20, 1.5σ)",BB逆張り,25,30,東京(9-15時),全曜日,上昇のみ,ATR低,416,1.1,52.6,-71.6,22.58,-25.46,0.986,-451.7,7,163,1.1,47.9,-357.0,24.02,-26.24,0.84,-515.5,8,0.852,29.1,不採用
"RSI逆張り(期間7, 40/70)",RSI逆張り,5,10,全時間,金,レンジのみ,なし,1273,6.2,64.6,-398.7,5.0,-9.99,0.912,-498.7,6,540,6.9,61.7,-405.0,5.0,-10.0,0.804,-550.0,8,0.882,29.1,不採用
"BBブレイク(期間14, 2.0σ)",BBブレイク,20,8,全時間,金,上昇のみ,なし,893,5.0,27.4,-447.3,19.28,-7.98,0.914,-639.0,15,388,5.4,25.3,-389.2,19.66,-7.98,0.832,-481.7,15,0.91,29.0,不採用
"BBブレイク(期間25, 2.0σ)",BBブレイク,6,15,全時間,水,下降のみ,ATR高,311,3.3,66.9,-297.0,6.0,-15.0,0.808,-336.0,4,125,3.5,63.2,-216.0,6.0,-15.0,0.687,-276.0,4,0.85,29.0,不採用
"BB逆張り(期間25, 2.0σ)",BB逆張り,15,25,ロンドン(16-21時),水,なし,なし,380,1.9,58.2,-332.4,14.76,-22.61,0.908,-353.9,6,144,1.9,54.9,-330.5,14.64,-22.88,0.778,-525.5,5,0.857,29.0,不採用
