戦略,戦略タイプ,利確pips,損切りpips,時間帯,曜日,トレンド環境,ボラ環境,学習_取引回数,学習_1日平均回数,学習_勝率%,学習_総損益pips,学習_平均利益pips,学習_平均損失pips,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_1日平均回数,検証_勝率%,検証_総損益pips,検証_平均利益pips,検証_平均損失pips,検証_PF,検証_最大DD_pips,検証_最大連敗,乖離率(検証PF/学習PF),総合スコア,判定
"BBブレイク(期間30, 2.5σ)",BBブレイク,30,12,NY(21-23時),水,順方向のみ,ATR低,5,1.0,0.0,-52.9,0.0,-10.58,0.0,-40.9,5,3,1.0,66.7,35.0,23.5,-12.0,3.917,-12.0,1,0.0,19.8,要注意(取引数不足)
"BBブレイク(期間30, 2.5σ)",BBブレイク,30,12,ロンドン(16-21時),月,下降のみ,ATR高,29,1.1,41.4,82.6,23.88,-12.0,1.405,-66.0,4,8,1.0,37.5,30.0,30.0,-12.0,1.5,-36.0,3,1.068,19.8,要注意(取引数不足)
"MACDクロス(8,21,6)",MACDクロス,4,15,9時台,月,上昇のみ,ATR低,19,1.1,78.9,0.0,4.0,-15.0,1.0,-48.0,1,11,1.4,81.8,6.0,4.0,-15.0,1.2,-26.0,1,1.2,19.8,要注意(取引数不足)
"EMAクロス(3,50)",EMAクロス,10,8,全時間,火,順方向のみ,ATR高,138,1.6,39.1,-132.5,9.92,-7.95,0.802,-212.0,11,57,1.7,47.4,30.0,10.0,-8.0,1.125,-50.0,5,1.403,19.8,不採用
"EMAクロス(20,200)",EMAクロス,6,12,全時間,火,なし,ATR高,162,1.8,65.4,-36.0,6.0,-12.0,0.946,-96.0,3,58,1.8,69.0,24.0,6.0,-12.0,1.111,-48.0,3,1.174,19.8,不採用
"BB逆張り(期間14, 2.0σ)",BB逆張り,30,30,16時台,木,なし,直近30分変動大,116,1.1,53.4,235.1,27.76,-27.52,1.158,-330.0,9,28,1.1,53.6,86.7,30.0,-27.95,1.239,-93.3,3,1.07,19.8,要注意(取引数不足)
押し目(EMA200+RSI45/65),押し目,10,8,東京(9-15時),月,上昇のみ,直近30分変動大,34,1.1,26.5,-110.0,10.0,-8.0,0.45,-122.0,9,19,1.4,47.4,10.0,10.0,-8.0,1.125,-38.0,3,1.5,19.8,不採用
"BB逆張り(期間25, 2.5σ)",BB逆張り,25,8,NY(21-23時),木,下降のみ,ATR高,54,1.1,16.7,-195.6,18.27,-8.0,0.457,-212.6,14,14,1.4,28.6,20.0,25.0,-8.0,1.25,-40.0,5,1.5,19.8,要注意(取引数不足)
"BB逆張り(期間30, 2.5σ)",BB逆張り,8,5,16時台,水,なし,ATR高,35,1.1,51.4,59.0,8.0,-5.0,1.694,-23.0,4,6,1.0,50.0,9.0,8.0,-5.0,1.6,-10.0,2,0.945,19.8,要注意(取引数不足)
"BBブレイク(期間25, 2.5σ)",BBブレイク,25,12,ロンドン(16-21時),火,なし,ATR高,101,1.2,42.6,281.4,22.25,-11.65,1.417,-159.9,8,26,1.2,42.3,75.7,23.25,-12.0,1.421,-60.0,5,1.003,19.8,要注意(取引数不足)
"RSI逆張り(期間14, 40/75)",RSI逆張り,15,25,ロンドン(16-21時),水,順方向のみ,なし,61,1.1,57.4,-29.2,14.36,-20.45,0.945,-172.1,5,17,1.1,70.6,40.5,13.79,-25.0,1.324,-85.0,3,1.401,19.8,要注意(取引数不足)
"MACDクロス(12,26,6)",MACDクロス,8,30,ロンドン(16-21時),水,レンジのみ,直近30分変動大,46,1.3,67.4,-202.0,8.0,-30.0,0.551,-254.0,3,26,1.1,80.8,18.0,8.0,-30.0,1.12,-86.0,2,1.5,19.8,不採用
押し目(EMA200+RSI40/60),押し目,30,15,9時台,金,なし,ATR低,15,1.1,26.7,-45.0,30.0,-15.0,0.727,-75.0,5,7,1.0,42.9,9.8,23.27,-15.0,1.163,-30.0,2,1.5,19.8,不採用
押し目(EMA200+RSI35/60),押し目,4,12,ロンドン(16-21時),全曜日,レンジのみ,ATR高,310,1.6,67.7,-360.0,4.0,-12.0,0.7,-364.0,4,91,1.6,76.9,28.0,4.0,-12.0,1.111,-100.0,4,1.5,19.8,不採用
"BB逆張り(期間20, 1.5σ)",BB逆張り,30,12,21時台,水,下降のみ,なし,61,1.1,31.1,-102.8,21.12,-12.0,0.796,-128.4,10,26,1.1,34.6,41.4,27.27,-12.0,1.203,-78.6,6,1.5,19.8,要注意(取引数不足)
押し目(EMA200+RSI35/65),押し目,6,12,9時台,月,レンジのみ,ATR高,9,1.1,55.6,-18.0,6.0,-12.0,0.625,-18.0,1,3,1.5,66.7,0.0,6.0,-12.0,1.0,0.0,1,1.5,19.8,不採用
押し目(EMA200+RSI45/65),押し目,20,30,9時台,全曜日,なし,ATR低,181,1.0,59.7,137.5,18.89,-26.06,1.072,-217.6,3,55,1.0,61.8,89.5,19.37,-27.1,1.157,-110.0,3,1.079,19.8,不採用
"RSI逆張り(期間10, 35/60)",RSI逆張り,30,10,ロンドン(16-21時),火,レンジのみ,直近30分変動大,68,1.3,26.5,-3.9,27.56,-10.0,0.992,-140.0,8,31,1.2,32.3,69.5,27.95,-10.0,1.331,-80.0,7,1.342,19.8,要注意(取引数不足)
"RSI逆張り(期間7, 30/75)",RSI逆張り,10,30,東京(9-15時),月,上昇のみ,直近30分変動大,124,1.6,66.1,-420.3,10.0,-29.53,0.661,-440.0,4,46,1.5,76.1,20.0,10.0,-30.0,1.061,-100.0,2,1.5,19.8,不採用
"RSI逆張り(期間14, 25/80)",RSI逆張り,10,20,16時台,水,なし,ATR高,14,1.3,42.9,-80.0,10.0,-17.5,0.429,-100.0,3,3,1.5,66.7,0.0,10.0,-20.0,1.0,0.0,1,1.5,19.8,不採用
"RSI逆張り(期間21, 40/75)",RSI逆張り,12,5,22時台,月,レンジのみ,ATR高,14,1.2,35.7,15.0,12.0,-5.0,1.333,-15.0,4,5,1.2,40.0,9.0,12.0,-5.0,1.6,-15.0,3,1.2,19.8,要注意(取引数不足)
"BBブレイク(期間25, 2.5σ)",BBブレイク,6,10,9時台,木,上昇のみ,ATR低,13,1.0,76.9,30.0,6.0,-10.0,2.0,-10.0,1,7,1.0,71.4,10.0,6.0,-10.0,1.5,-10.0,1,0.75,19.8,要注意(取引数不足)
"EMAクロス(12,150)",EMAクロス,5,8,9時台,火,レンジのみ,直近30分変動大,41,1.1,51.2,-55.0,5.0,-8.0,0.656,-75.0,4,14,1.1,64.3,5.0,5.0,-8.0,1.125,-24.0,3,1.5,19.8,不採用
押し目(EMA200+RSI35/55),押し目,12,10,東京(9-15時),月,下降のみ,ATR低,15,1.1,40.0,-15.1,12.0,-9.68,0.827,-63.1,3,2,1.0,50.0,2.0,12.0,-10.0,1.2,-10.0,1,1.451,19.8,要注意(取引数不足)
"BBブレイク(期間14, 2.0σ)",BBブレイク,10,10,全時間,金,レンジのみ,ATR高,289,2.3,46.0,-225.3,10.0,-9.97,0.855,-340.0,6,71,2.1,52.1,30.0,10.0,-10.0,1.088,-50.0,4,1.273,19.8,不採用
"EMAクロス(12,100)",EMAクロス,6,12,ロンドン(16-21時),金,順方向のみ,なし,11,1.1,45.5,-32.7,6.0,-10.45,0.478,-36.0,2,3,1.0,66.7,0.0,6.0,-12.0,1.0,0.0,1,1.5,19.8,不採用
"RSI逆張り(期間7, 20/80)",RSI逆張り,8,20,21時台,金,順方向のみ,ATR低,1,1.0,0.0,-20.0,0.0,-20.0,0.0,0.0,1,1,1.0,100.0,8.0,8.0,0.0,999.0,0.0,0,0.0,19.8,要注意(取引数不足)
"MACDクロス(12,35,12)",MACDクロス,15,8,ロンドン(16-21時),水,下降のみ,なし,175,2.1,35.4,8.2,14.71,-8.0,1.009,-108.9,8,72,2.2,38.9,68.0,15.0,-8.0,1.193,-71.0,6,1.182,19.8,不採用
押し目(EMA200+RSI40/55),押し目,12,15,NY(21-23時),月,レンジのみ,直近30分変動大,15,1.2,66.7,57.6,12.0,-12.48,1.923,-30.0,2,9,1.1,66.7,27.0,12.0,-15.0,1.6,-30.0,2,0.832,19.8,要注意(取引数不足)
"RSI逆張り(期間21, 25/65)",RSI逆張り,8,5,15時台,全曜日,なし,ATR低,78,1.2,29.5,-91.0,8.0,-5.0,0.669,-92.0,6,35,1.3,40.0,7.0,8.0,-5.0,1.067,-26.0,4,1.5,19.8,不採用
"RSI逆張り(期間21, 40/70)",RSI逆張り,15,10,9時台,金,上昇のみ,直近30分変動大,13,1.0,53.8,45.0,15.0,-10.0,1.75,-30.0,3,4,1.0,50.0,10.0,15.0,-10.0,1.5,-10.0,1,0.857,19.8,要注意(取引数不足)
"EMAクロス(5,75)",EMAクロス,25,5,東京(9-15時),水,なし,直近30分変動大,194,1.8,17.0,20.0,25.0,-5.0,1.025,-125.0,24,90,1.8,20.0,90.0,25.0,-5.0,1.25,-75.0,15,1.22,19.8,要注意(取引数不足)
"BBブレイク(期間20, 2.5σ)",BBブレイク,6,20,東京(9-15時),水,レンジのみ,なし,112,1.2,79.5,98.3,6.0,-18.94,1.226,-56.0,3,52,1.3,78.8,26.0,6.0,-20.0,1.118,-58.0,1,0.912,19.8,不採用
押し目(EMA200+RSI40/60),押し目,20,5,22時台,木,順方向のみ,なし,4,1.0,75.0,36.9,13.97,-5.0,8.38,-5.0,1,5,1.0,40.0,25.0,20.0,-5.0,2.667,-5.0,2,0.318,19.8,要注意(取引数不足)
"EMAクロス(10,100)",EMAクロス,5,8,ロンドン(16-21時),全曜日,下降のみ,直近30分変動大,48,1.3,56.2,-33.0,5.0,-8.0,0.804,-58.0,5,16,1.1,62.5,2.0,5.0,-8.0,1.042,-17.0,1,1.296,19.8,不採用
"BB逆張り(期間30, 2.0σ)",BB逆張り,5,10,15時台,火,レンジのみ,ATR高,7,1.2,42.9,-25.0,5.0,-10.0,0.375,-35.0,2,3,1.0,66.7,0.0,5.0,-10.0,1.0,0.0,1,1.5,19.8,不採用
"EMAクロス(12,75)",EMAクロス,8,20,10時台,水,順方向のみ,ATR低,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,100.0,8.0,8.0,0.0,999.0,0.0,0,0.0,19.8,要注意(取引数不足)
"BBブレイク(期間20, 2.0σ)",BBブレイク,10,12,ロンドン(16-21時),月,上昇のみ,ATR高,59,1.4,62.7,99.2,9.82,-12.0,1.376,-60.0,4,23,1.6,60.9,32.0,10.0,-12.0,1.296,-36.0,3,0.942,19.8,要注意(取引数不足)
押し目(EMA200+RSI35/60),押し目,20,12,ロンドン(16-21時),木,レンジのみ,ATR低,12,1.0,25.0,-39.9,20.0,-11.1,0.601,-55.9,6,5,1.0,40.0,4.0,20.0,-12.0,1.111,-12.0,2,1.5,19.8,不採用
"BBブレイク(期間30, 2.5σ)",BBブレイク,12,30,全時間,火,下降のみ,ATR高,116,1.7,64.7,-180.1,11.94,-26.23,0.833,-282.1,5,42,1.8,73.8,42.0,12.0,-30.0,1.127,-126.0,2,1.353,19.8,不採用
押し目(EMA200+RSI40/60),押し目,30,10,21時台,木,なし,なし,109,1.2,33.0,208.8,25.89,-9.91,1.289,-139.1,9,47,1.1,36.2,130.0,24.88,-9.77,1.444,-90.0,9,1.12,19.8,要注意(取引数不足)
"BBブレイク(期間20, 2.0σ)",BBブレイク,6,15,16時台,金,なし,ATR高,78,1.2,71.8,6.0,6.0,-15.0,1.018,-72.0,4,20,1.3,75.0,15.0,6.0,-15.0,1.2,-39.0,2,1.179,19.8,要注意(取引数不足)
"MACDクロス(12,21,12)",MACDクロス,12,15,15時台,金,なし,ATR高,48,1.2,47.9,-99.0,12.0,-15.0,0.736,-141.0,5,19,1.4,57.9,12.0,12.0,-15.0,1.1,-36.0,2,1.495,19.8,不採用
"BBブレイク(期間20, 2.0σ)",BBブレイク,15,12,22時台,全曜日,下降のみ,ATR低,17,1.1,58.8,13.3,9.39,-11.51,1.165,-56.6,5,2,1.0,50.0,3.0,15.0,-12.0,1.25,0.0,1,1.073,19.8,要注意(取引数不足)
"EMAクロス(12,100)",EMAクロス,8,12,ロンドン(16-21時),火,レンジのみ,ATR低,23,1.1,73.9,64.0,8.0,-12.0,1.889,-36.0,3,10,1.1,70.0,20.0,8.0,-12.0,1.556,-24.0,2,0.824,19.8,要注意(取引数不足)
押し目(EMA200+RSI35/60),押し目,12,5,NY(21-23時),水,なし,ATR高,67,1.4,31.3,22.0,12.0,-5.0,1.096,-70.0,14,26,1.4,38.5,36.8,11.68,-5.0,1.46,-53.0,8,1.332,19.8,要注意(取引数不足)
"BBブレイク(期間25, 2.5σ)",BBブレイク,25,5,NY(21-23時),全曜日,順方向のみ,ATR低,51,1.0,43.1,227.2,16.92,-5.0,2.567,-30.0,6,14,1.0,35.7,46.9,18.38,-5.0,2.042,-25.0,6,0.795,19.8,要注意(取引数不足)
"EMAクロス(12,200)",EMAクロス,8,5,ロンドン(16-21時),火,順方向のみ,直近30分変動大,1,1.0,0.0,-5.0,0.0,-5.0,0.0,0.0,1,1,1.0,100.0,8.0,8.0,0.0,999.0,0.0,0,0.0,19.8,要注意(取引数不足)
"MACDクロス(8,26,6)",MACDクロス,30,5,NY(21-23時),金,順方向のみ,ATR高,107,1.3,16.8,-63.6,21.19,-5.0,0.857,-110.0,15,16,1.1,18.8,25.0,30.0,-5.0,1.385,-45.0,9,1.5,19.8,要注意(取引数不足)
"EMAクロス(5,75)",EMAクロス,4,10,NY(21-23時),水,上昇のみ,ATR高,20,1.1,70.0,-4.0,4.0,-10.0,0.933,-42.0,3,12,1.3,75.0,6.0,4.0,-10.0,1.2,-20.0,2,1.286,19.8,要注意(取引数不足)
"EMAクロス(10,75)",EMAクロス,10,12,16時台,全曜日,なし,直近30分変動大,190,1.1,54.7,8.0,10.0,-12.0,1.008,-122.0,6,95,1.1,57.9,68.2,9.97,-12.0,1.142,-72.0,5,1.133,19.8,不採用
"MACDクロス(8,26,9)",MACDクロス,25,5,22時台,金,なし,なし,245,1.4,20.0,-32.6,19.32,-5.0,0.967,-241.1,20,85,1.5,24.7,65.2,18.32,-4.99,1.204,-69.8,9,1.245,19.8,要注意(取引数不足)
押し目(EMA200+RSI45/65),押し目,12,30,全時間,火,上昇のみ,ATR高,189,2.0,66.7,-148.2,11.91,-26.18,0.91,-377.6,4,73,2.1,74.0,89.5,11.82,-28.88,1.163,-192.0,3,1.278,19.8,不採用
"BBブレイク(期間20, 2.5σ)",BBブレイク,5,12,ロンドン(16-21時),木,なし,ATR高,125,1.5,62.4,-174.0,5.0,-12.0,0.691,-207.0,5,35,1.3,71.4,5.0,5.0,-12.0,1.042,-41.0,2,1.5,19.8,不採用
"BB逆張り(期間30, 2.0σ)",BB逆張り,5,10,15時台,月,順方向のみ,ATR高,10,1.4,50.0,-25.0,5.0,-10.0,0.5,-25.0,2,3,1.0,66.7,0.0,5.0,-10.0,1.0,0.0,1,1.5,19.8,不採用
"BBブレイク(期間14, 2.5σ)",BBブレイク,20,12,NY(21-23時),全曜日,なし,ATR高,449,1.1,39.2,-34.0,17.83,-11.62,0.989,-272.4,10,104,1.1,23.1,-434.8,20.0,-11.43,0.525,-422.8,10,0.531,19.8,不採用
押し目(EMA200+RSI35/65),押し目,8,20,22時台,金,なし,なし,2,1.0,0.0,-40.0,0.0,-20.0,0.0,-20.0,2,1,1.0,100.0,8.0,8.0,0.0,999.0,0.0,0,0.0,19.8,要注意(取引数不足)
"RSI逆張り(期間14, 25/70)",RSI逆張り,8,15,21時台,水,レンジのみ,直近30分変動大,9,1.0,44.4,-43.0,8.0,-15.0,0.427,-36.0,3,3,1.0,66.7,1.0,8.0,-15.0,1.067,-15.0,1,1.5,19.7,不採用
"MACDクロス(16,26,12)",MACDクロス,30,8,ロンドン(16-21時),金,順方向のみ,直近30分変動大,100,1.2,26.0,130.6,27.79,-8.0,1.221,-96.0,10,41,1.2,26.8,81.7,29.25,-8.0,1.34,-68.3,8,1.097,19.7,要注意(取引数不足)
押し目(EMA200+RSI40/55),押し目,10,8,15時台,火,順方向のみ,なし,103,1.2,37.9,-122.0,10.0,-8.0,0.762,-134.0,8,34,1.2,47.1,16.0,10.0,-8.0,1.111,-32.0,4,1.458,19.7,不採用
押し目(EMA200+RSI40/55),押し目,4,15,22時台,月,なし,ATR高,63,1.2,76.2,-9.8,4.0,-13.45,0.951,-76.5,2,17,1.2,76.5,3.7,4.0,-12.07,1.077,-18.0,1,1.132,19.7,不採用
"BBブレイク(期間14, 2.5σ)",BBブレイク,25,30,10時台,木,なし,なし,48,1.0,50.0,-14.6,24.45,-25.05,0.976,-199.6,5,14,1.0,57.1,49.5,25.0,-25.08,1.329,-90.0,3,1.362,19.7,要注意(取引数不足)
"BBブレイク(期間14, 2.0σ)",BBブレイク,15,20,ロンドン(16-21時),金,レンジのみ,なし,136,1.2,58.8,135.4,14.77,-18.68,1.129,-134.8,5,55,1.2,61.8,86.4,14.23,-18.92,1.217,-105.7,4,1.078,19.7,要注意(取引数不足)
"MACDクロス(8,21,6)",MACDクロス,30,20,ロンドン(16-21時),火,順方向のみ,なし,250,1.3,38.4,-508.6,25.35,-19.1,0.827,-782.8,11,97,1.4,43.3,133.1,26.67,-17.95,1.135,-120.0,7,1.372,19.7,不採用
"EMAクロス(8,50)",EMAクロス,12,20,ロンドン(16-21時),全曜日,順方向のみ,なし,286,1.1,57.7,-308.0,11.63,-18.41,0.862,-409.3,5,131,1.1,64.1,87.4,11.7,-19.05,1.098,-148.0,4,1.274,19.7,不採用
"MACDクロス(12,21,12)",MACDクロス,30,30,10時台,水,なし,直近30分変動大,59,1.1,49.2,-117.3,26.99,-30.0,0.87,-208.2,6,25,1.0,56.0,64.8,28.2,-30.0,1.196,-120.0,3,1.375,19.7,不採用
押し目(EMA200+RSI45/60),押し目,5,8,NY(21-23時),月,レンジのみ,直近30分変動大,17,1.1,52.9,-19.0,5.0,-8.0,0.703,-41.0,3,8,1.1,62.5,1.0,5.0,-8.0,1.042,-11.0,1,1.482,19.7,不採用
"BB逆張り(期間25, 2.0σ)",BB逆張り,8,25,ロンドン(16-21時),月,順方向のみ,なし,90,1.1,63.3,-146.0,7.86,-18.0,0.754,-259.3,4,38,1.1,76.3,23.5,8.0,-23.17,1.113,-85.0,2,1.476,19.7,不採用
"EMAクロス(12,50)",EMAクロス,8,5,東京(9-15時),月,なし,直近30分変動大,150,1.5,37.3,-22.0,8.0,-5.0,0.953,-75.0,12,70,1.5,41.4,27.0,8.0,-5.0,1.132,-35.0,6,1.188,19.7,不採用
"BB逆張り(期間25, 2.5σ)",BB逆張り,4,30,16時台,月,レンジのみ,なし,27,1.1,85.2,-4.6,4.0,-24.15,0.952,-60.0,2,10,1.0,90.0,6.0,4.0,-30.0,1.2,-30.0,1,1.261,19.7,要注意(取引数不足)
"EMAクロス(8,200)",EMAクロス,8,30,22時台,月,レンジのみ,ATR高,21,1.0,76.2,9.1,7.56,-22.36,1.081,-51.8,3,4,1.0,75.0,5.2,8.0,-18.8,1.277,-18.8,1,1.181,19.7,要注意(取引数不足)
"EMAクロス(15,30)",EMAクロス,30,10,16時台,全曜日,なし,ATR低,62,1.0,35.5,161.2,24.75,-9.58,1.421,-80.0,8,21,1.1,33.3,56.5,26.64,-9.29,1.435,-50.0,5,1.01,19.7,要注意(取引数不足)
"BBブレイク(期間14, 2.0σ)",BBブレイク,20,10,21時台,木,レンジのみ,ATR高,28,1.1,21.4,-102.6,19.57,-10.0,0.534,-92.6,8,5,1.0,40.0,10.0,20.0,-10.0,1.333,-30.0,3,1.5,19.7,要注意(取引数不足)
押し目(EMA200+RSI40/60),押し目,12,20,22時台,月,順方向のみ,なし,75,1.1,45.3,-276.4,10.44,-15.4,0.562,-305.7,5,28,1.1,57.1,16.4,11.04,-13.36,1.102,-62.3,3,1.5,19.7,不採用
押し目(EMA200+RSI35/60),押し目,6,10,21時台,全曜日,レンジのみ,直近30分変動大,35,1.0,62.9,2.0,6.0,-10.0,1.015,-48.0,3,12,1.0,66.7,8.0,6.0,-10.0,1.2,-22.0,2,1.182,19.7,要注意(取引数不足)
押し目(EMA200+RSI40/55),押し目,6,10,ロンドン(16-21時),水,レンジのみ,ATR低,21,1.1,52.4,-34.0,6.0,-10.0,0.66,-54.0,5,11,1.1,63.6,2.0,6.0,-10.0,1.05,-20.0,2,1.5,19.7,不採用
"RSI逆張り(期間14, 25/75)",RSI逆張り,12,30,全時間,金,順方向のみ,なし,8,1.0,75.0,16.4,12.0,-27.8,1.295,-30.0,1,4,1.0,75.0,6.0,12.0,-30.0,1.2,0.0,1,0.927,19.7,要注意(取引数不足)
"RSI逆張り(期間14, 35/60)",RSI逆張り,12,10,NY(21-23時),金,上昇のみ,ATR高,81,1.4,45.7,-2.3,11.31,-9.57,0.995,-62.0,4,16,1.3,50.0,16.0,12.0,-10.0,1.2,-28.0,3,1.206,19.7,要注意(取引数不足)
"BBブレイク(期間14, 2.0σ)",BBブレイク,4,10,10時台,月,下降のみ,直近30分変動大,39,1.3,71.8,2.0,4.0,-10.0,1.018,-48.0,3,15,1.2,73.3,4.0,4.0,-10.0,1.1,-16.0,1,1.081,19.7,不採用
"BB逆張り(期間25, 2.0σ)",BB逆張り,25,8,9時台,木,順方向のみ,ATR高,1,1.0,100.0,25.0,25.0,0.0,999.0,0.0,0,2,1.0,50.0,17.0,25.0,-8.0,3.125,-8.0,1,0.312,19.7,要注意(取引数不足)
"EMAクロス(20,75)",EMAクロス,25,8,NY(21-23時),月,下降のみ,直近30分変動大,2,1.0,0.0,-16.0,0.0,-8.0,0.0,-8.0,2,1,1.0,100.0,7.8,7.8,0.0,999.0,0.0,0,0.0,19.7,要注意(取引数不足)
"EMAクロス(8,150)",EMAクロス,6,15,9時台,火,上昇のみ,直近30分変動大,1,1.0,0.0,-15.0,0.0,-15.0,0.0,0.0,1,1,1.0,100.0,6.0,6.0,0.0,999.0,0.0,0,0.0,19.7,要注意(取引数不足)
"BB逆張り(期間25, 2.5σ)",BB逆張り,10,15,21時台,月,レンジのみ,なし,26,1.1,65.4,25.1,9.42,-15.0,1.186,-34.9,2,3,1.0,66.7,5.0,10.0,-15.0,1.333,-15.0,1,1.124,19.7,要注意(取引数不足)
押し目(EMA200+RSI45/55),押し目,6,12,15時台,全曜日,レンジのみ,直近30分変動大,30,1.0,43.3,-126.0,6.0,-12.0,0.382,-138.0,5,12,1.1,66.7,0.0,6.0,-12.0,1.0,-18.0,1,1.5,19.7,不採用
"MACDクロス(8,21,12)",MACDクロス,15,20,東京(9-15時),水,なし,直近30分変動大,211,1.8,55.0,-160.0,15.0,-20.0,0.916,-380.0,5,117,2.0,60.7,145.0,15.0,-20.0,1.158,-160.0,5,1.264,19.7,不採用
"BB逆張り(期間25, 2.0σ)",BB逆張り,5,20,ロンドン(16-21時),金,下降のみ,直近30分変動大,120,1.8,81.7,50.0,5.0,-20.0,1.114,-145.0,4,29,1.4,82.8,20.0,5.0,-20.0,1.2,-50.0,2,1.077,19.7,要注意(取引数不足)
"BBブレイク(期間14, 2.5σ)",BBブレイク,20,12,15時台,全曜日,上昇のみ,ATR低,68,1.0,30.9,-146.4,18.98,-11.59,0.731,-232.8,10,17,1.0,41.2,10.3,18.61,-12.0,1.086,-24.0,3,1.486,19.7,不採用
"MACDクロス(8,21,9)",MACDクロス,20,15,15時台,木,レンジのみ,ATR低,15,1.0,46.7,14.5,17.96,-13.9,1.13,-60.0,4,2,1.0,50.0,5.0,20.0,-15.0,1.333,-15.0,1,1.18,19.7,要注意(取引数不足)
"MACDクロス(16,26,6)",MACDクロス,10,25,ロンドン(16-21時),金,なし,直近30分変動大,234,1.8,71.8,85.5,9.96,-24.07,1.054,-164.4,4,90,1.7,72.2,62.0,10.0,-23.52,1.105,-143.0,2,1.048,19.7,不採用
"BBブレイク(期間14, 1.5σ)",BBブレイク,5,12,ロンドン(16-21時),金,レンジのみ,ATR低,36,1.4,72.2,28.7,5.0,-10.13,1.283,-50.0,2,21,1.5,76.2,20.0,5.0,-12.0,1.333,-36.0,3,1.039,19.7,要注意(取引数不足)
"BBブレイク(期間14, 1.5σ)",BBブレイク,15,10,21時台,木,なし,直近30分変動大,203,1.5,36.5,-175.4,14.94,-9.93,0.863,-335.0,16,81,1.4,44.4,90.0,15.0,-10.0,1.2,-130.0,6,1.39,19.7,要注意(取引数不足)
"BB逆張り(期間25, 2.5σ)",BB逆張り,12,5,東京(9-15時),火,順方向のみ,直近30分変動大,30,1.0,16.7,-65.0,12.0,-5.0,0.48,-76.0,13,15,1.2,33.3,10.0,12.0,-5.0,1.2,-25.0,5,1.5,19.7,要注意(取引数不足)
押し目(EMA200+RSI35/60),押し目,30,25,全時間,月,順方向のみ,直近30分変動大,205,1.8,43.4,-361.5,27.65,-24.33,0.872,-536.2,7,105,1.9,50.5,230.0,27.44,-23.55,1.188,-175.0,7,1.362,19.7,不採用
"RSI逆張り(期間14, 20/65)",RSI逆張り,25,12,16時台,月,レンジのみ,ATR高,9,1.1,11.1,-71.0,25.0,-12.0,0.26,-96.0,8,3,1.0,33.3,1.0,25.0,-12.0,1.042,-12.0,1,1.5,19.7,不採用
押し目(EMA200+RSI35/65),押し目,5,8,15時台,全曜日,下降のみ,直近30分変動大,38,1.1,55.3,-31.0,5.0,-8.0,0.772,-58.0,4,22,1.1,63.6,6.0,5.0,-8.0,1.094,-28.0,2,1.417,19.7,不採用
"MACDクロス(8,21,6)",MACDクロス,8,20,東京(9-15時),月,下降のみ,なし,220,2.2,73.2,108.0,8.0,-20.0,1.092,-112.0,4,107,2.5,74.8,110.3,8.0,-19.62,1.208,-172.0,4,1.106,19.7,要注意(取引数不足)
押し目(EMA200+RSI45/65),押し目,12,25,22時台,水,上昇のみ,直近30分変動大,8,1.0,75.0,17.9,10.07,-21.25,1.421,-30.1,1,4,1.0,75.0,11.0,12.0,-25.0,1.44,-25.0,1,1.013,19.7,要注意(取引数不足)
"EMAクロス(15,200)",EMAクロス,6,20,9時台,火,順方向のみ,直近30分変動大,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,100.0,6.0,6.0,0.0,999.0,0.0,0,0.0,19.7,要注意(取引数不足)
押し目(EMA200+RSI35/65),押し目,5,5,全時間,水,下降のみ,ATR高,201,2.5,38.8,-225.0,5.0,-5.0,0.634,-255.0,9,75,2.4,52.0,15.0,5.0,-5.0,1.083,-50.0,5,1.5,19.7,不採用
"BBブレイク(期間14, 1.5σ)",BBブレイク,30,15,ロンドン(16-21時),月,順方向のみ,直近30分変動大,173,1.4,39.9,260.8,25.92,-14.69,1.171,-252.7,7,84,1.5,41.7,174.3,25.25,-14.48,1.246,-105.0,6,1.064,19.7,要注意(取引数不足)
"MACDクロス(16,26,6)",MACDクロス,4,8,21時台,月,なし,直近30分変動大,60,1.1,68.3,12.0,4.0,-8.0,1.079,-48.0,3,33,1.2,69.7,12.0,4.0,-8.0,1.15,-24.0,3,1.066,19.7,不採用
"RSI逆張り(期間14, 25/65)",RSI逆張り,12,12,ロンドン(16-21時),全曜日,下降のみ,なし,256,1.4,44.5,-351.8,11.86,-12.0,0.794,-425.4,7,109,1.6,54.1,108.0,12.0,-12.0,1.18,-180.0,6,1.486,19.7,不採用
押し目(EMA200+RSI35/55),押し目,8,10,全時間,水,レンジのみ,ATR高,209,2.1,53.1,-92.0,8.0,-10.0,0.906,-196.0,6,69,2.0,59.4,48.0,8.0,-10.0,1.171,-66.0,6,1.292,19.7,不採用
"RSI逆張り(期間14, 25/65)",RSI逆張り,25,10,22時台,月,レンジのみ,ATR高,16,1.2,6.2,-122.8,25.0,-9.85,0.169,-140.0,15,5,1.2,40.0,2.9,16.45,-10.0,1.097,-12.1,2,1.5,19.7,不採用
