戦略,利確pips,損切りpips,時間帯,曜日,ボラ条件,トレンド条件,学習_取引回数,学習_1日平均回数,学習_勝率%,学習_総損益pips,学習_平均利益pips,学習_平均損失pips,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_1日平均回数,検証_勝率%,検証_総損益pips,検証_平均利益pips,検証_平均損失pips,検証_PF,検証_最大DD_pips,検証_最大連敗,乖離率(検証PF/学習PF),総合スコア,判定
"EMAクロス(5,20)",10,15,東京(9-15時),全曜日,なし,レンジのみ,820,1.4,57.3,-538.0,9.95,-14.9,0.897,-658.1,10,298,1.4,63.4,242.5,9.93,-15.0,1.148,-160.0,4,1.28,79.5,要注意
"RSI逆張り(25,75)",8,15,全時間,全曜日,なし,レンジのみ,649,1.4,65.3,72.1,7.96,-14.68,1.022,-214.0,5,244,1.3,68.4,207.2,8.0,-14.66,1.184,-131.0,4,1.159,79.5,要注意
"EMAクロス(5,20)",10,20,ロンドン(16-21時),全曜日,なし,上昇トレンドのみ,779,1.3,61.0,-940.8,9.86,-18.51,0.833,-1017.7,7,290,1.4,67.2,184.1,9.89,-18.36,1.106,-140.0,4,1.328,79.5,要注意
トレンド押し目(EMA200+RSI40/60),20,5,16時台,全曜日,なし,なし,335,1.3,20.3,-1.9,19.6,-5.0,0.999,-151.9,13,119,1.3,26.1,180.0,20.0,-5.0,1.409,-75.0,10,1.41,79.3,要注意
"RSI逆張り(30,70)",8,15,10時台,全曜日,なし,なし,446,1.1,62.8,-239.9,8.0,-14.94,0.903,-334.9,6,183,1.1,68.3,130.0,8.0,-15.0,1.149,-118.0,4,1.272,79.2,要注意
"RSI逆張り(30,70)",10,5,10時台,全曜日,なし,なし,502,1.3,31.1,-170.0,10.0,-5.0,0.902,-260.0,16,203,1.3,38.4,155.0,10.0,-5.0,1.248,-65.0,12,1.384,79.2,要注意
"RSI逆張り(30,70)",5,10,ロンドン(16-21時),全曜日,なし,上昇トレンドのみ,651,1.7,63.4,-309.0,5.0,-9.97,0.87,-490.0,5,216,1.8,69.9,105.0,5.0,-10.0,1.162,-105.0,5,1.336,79.1,要注意
"RSI逆張り(30,70)",10,10,10時台,全曜日,なし,なし,472,1.2,47.5,-232.1,10.0,-9.97,0.906,-292.1,9,194,1.2,53.1,120.0,10.0,-10.0,1.132,-90.0,5,1.249,79.1,要注意
"RSI逆張り(30,70)",15,10,10時台,全曜日,なし,なし,471,1.2,37.2,-331.2,14.98,-9.97,0.888,-427.1,11,194,1.2,44.3,200.4,14.89,-10.0,1.186,-114.6,6,1.336,79.1,要注意
トレンド押し目(EMA200+RSI40/60),15,5,ロンドン(16-21時),全曜日,なし,なし,1103,1.7,23.1,-469.9,14.78,-5.0,0.889,-579.9,23,412,1.8,30.1,404.7,14.84,-4.99,1.282,-111.5,16,1.442,78.9,要注意
"MACDクロス(12,26,9)",8,5,10時台,全曜日,なし,レンジのみ,318,1.3,40.3,74.0,8.0,-5.0,1.078,-99.0,7,116,1.2,43.1,70.0,8.0,-5.0,1.212,-49.0,5,1.124,78.9,採用候補
"RSI逆張り(25,75)",20,5,全時間,全曜日,なし,レンジのみ,712,1.5,20.8,-22.7,18.9,-5.0,0.992,-360.0,19,272,1.5,24.3,236.9,19.17,-4.99,1.23,-70.0,13,1.24,78.9,要注意
"RSI逆張り(30,70)",20,15,10時台,全曜日,なし,なし,443,1.1,41.5,-232.3,19.67,-14.87,0.94,-405.0,10,181,1.1,46.4,235.2,19.83,-14.74,1.164,-121.9,5,1.238,78.8,要注意
