entry_time,exit_time,side,pnl_pips,exit_reason
2023-11-14 14:35:00,2023-11-14 15:40:00,買い,-5.0,損切り
2023-11-15 13:20:00,2023-11-15 14:05:00,売り,-5.0,損切り
2023-11-15 14:10:00,2023-11-15 17:35:00,買い,-5.0,損切り
2023-11-16 11:45:00,2023-11-16 12:50:00,買い,-5.0,損切り
2023-11-17 10:05:00,2023-11-17 10:05:00,売り,-5.0,損切り
2023-11-20 10:20:00,2023-11-20 11:25:00,売り,20.0,利確
2023-11-22 10:05:00,2023-11-22 10:15:00,買い,-5.0,損切り
2023-11-22 10:20:00,2023-11-22 10:20:00,売り,-5.0,損切り
2023-11-22 10:35:00,2023-11-22 10:40:00,買い,-5.0,損切り
2023-11-22 13:25:00,2023-11-22 14:15:00,買い,20.0,利確
2023-11-24 11:00:00,2023-11-24 12:10:00,売り,-5.0,損切り
2023-11-29 14:15:00,2023-11-29 14:45:00,売り,-5.0,損切り
2023-12-01 12:05:00,2023-12-01 12:25:00,買い,-5.0,損切り
2023-12-05 09:35:00,2023-12-05 10:10:00,売り,-5.0,損切り
2023-12-05 10:45:00,2023-12-05 10:45:00,買い,-5.0,損切り
2023-12-05 11:10:00,2023-12-05 11:15:00,売り,-5.0,損切り
2023-12-05 11:55:00,2023-12-05 12:20:00,買い,-5.0,損切り
2023-12-06 09:10:00,2023-12-06 09:25:00,売り,-5.0,損切り
2023-12-06 09:30:00,2023-12-06 09:50:00,買い,-5.0,損切り
2023-12-08 09:25:00,2023-12-08 09:25:00,売り,-5.0,損切り
2023-12-13 11:35:00,2023-12-13 15:20:00,買い,20.0,利確
2023-12-18 13:45:00,2023-12-18 13:50:00,買い,-5.0,損切り
2023-12-18 13:55:00,2023-12-18 15:00:00,売り,-5.0,損切り
2023-12-19 11:50:00,2023-12-19 11:50:00,買い,-5.0,損切り
2023-12-20 12:30:00,2023-12-20 12:50:00,売り,20.0,利確
2023-12-26 10:20:00,2023-12-26 10:20:00,買い,-5.0,損切り
2023-12-26 11:30:00,2023-12-26 13:55:00,売り,-5.0,損切り
2023-12-27 09:00:00,2023-12-27 09:20:00,買い,20.0,利確
2023-12-27 13:10:00,2023-12-27 13:10:00,買い,-5.0,損切り
2023-12-29 13:10:00,2023-12-29 13:10:00,売り,-5.0,損切り
2023-12-29 14:05:00,2023-12-29 14:20:00,買い,-5.0,損切り
2024-01-03 14:20:00,2024-01-03 14:30:00,買い,-5.0,損切り
2024-01-04 10:00:00,2024-01-04 10:00:00,買い,-5.0,損切り
2024-01-08 10:00:00,2024-01-08 10:00:00,売り,-5.0,損切り
2024-01-09 09:10:00,2024-01-09 09:40:00,売り,20.0,利確
2024-01-11 09:20:00,2024-01-11 09:30:00,売り,-5.0,損切り
2024-01-16 10:00:00,2024-01-16 10:00:00,買い,-5.0,損切り
2024-01-18 09:35:00,2024-01-18 09:50:00,買い,-5.0,損切り
2024-01-18 10:00:00,2024-01-18 10:40:00,売り,-5.0,損切り
2024-01-19 10:25:00,2024-01-19 11:05:00,買い,20.0,利確
2024-01-26 09:05:00,2024-01-26 09:25:00,買い,-5.0,損切り
2024-01-26 09:55:00,2024-01-26 10:05:00,売り,-5.0,損切り
2024-01-29 13:05:00,2024-01-29 15:55:00,売り,20.0,利確
2024-02-01 09:45:00,2024-02-01 09:45:00,売り,-5.0,損切り
2024-02-02 09:25:00,2024-02-02 10:35:00,売り,-5.0,損切り
2024-02-06 12:25:00,2024-02-06 13:00:00,買い,-5.0,損切り
2024-02-06 13:25:00,2024-02-06 17:05:00,売り,-5.0,損切り
2024-02-09 09:20:00,2024-02-09 09:35:00,買い,-5.0,損切り
2024-02-12 14:45:00,2024-02-12 21:05:00,売り,20.0,利確
2024-02-21 11:25:00,2024-02-21 13:45:00,売り,-5.0,損切り
2024-02-23 12:10:00,2024-02-23 18:00:00,買い,20.0,利確
2024-02-26 09:20:00,2024-02-26 09:30:00,売り,-5.0,損切り
2024-02-26 14:25:00,2024-02-26 15:10:00,売り,-5.0,損切り
2024-02-28 12:25:00,2024-02-28 15:55:00,買い,20.0,利確
2024-03-05 11:10:00,2024-03-05 16:40:00,買い,-5.0,損切り
2024-03-06 10:35:00,2024-03-06 11:15:00,買い,-5.0,損切り
2024-03-06 11:25:00,2024-03-06 16:00:00,売り,20.0,利確
2024-03-08 12:50:00,2024-03-08 15:05:00,売り,-5.0,損切り
2024-03-11 14:15:00,2024-03-11 14:25:00,売り,-5.0,損切り
2024-03-11 14:40:00,2024-03-11 14:55:00,買い,-5.0,損切り
2024-03-18 09:20:00,2024-03-18 09:55:00,買い,20.0,利確
2024-03-18 13:20:00,2024-03-18 16:10:00,買い,20.0,利確
2024-03-22 09:10:00,2024-03-22 09:50:00,売り,-5.0,損切り
2024-03-22 10:40:00,2024-03-22 10:40:00,買い,-5.0,損切り
2024-03-26 14:50:00,2024-03-26 14:55:00,売り,-5.0,損切り
2024-03-28 09:15:00,2024-03-28 09:25:00,買い,-5.0,損切り
2024-03-28 11:15:00,2024-03-28 11:35:00,売り,-5.0,損切り
2024-03-28 13:55:00,2024-03-28 14:30:00,買い,-5.0,損切り
2024-04-02 09:45:00,2024-04-02 17:10:00,買い,-5.0,損切り
2024-04-03 12:55:00,2024-04-03 15:10:00,売り,-5.0,損切り
2024-04-05 14:40:00,2024-04-05 15:10:00,売り,-5.0,損切り
2024-04-10 09:25:00,2024-04-10 10:00:00,売り,-5.0,損切り
2024-04-11 12:55:00,2024-04-11 15:30:00,買い,20.0,利確
2024-04-12 09:10:00,2024-04-12 09:30:00,売り,-5.0,損切り
2024-04-12 12:05:00,2024-04-12 16:10:00,買い,20.0,利確
2024-04-16 09:25:00,2024-04-16 15:25:00,買い,20.0,利確
2024-04-17 10:25:00,2024-04-17 11:00:00,売り,-5.0,損切り
2024-04-17 11:10:00,2024-04-17 11:20:00,買い,-5.0,損切り
2024-04-17 14:30:00,2024-04-17 14:45:00,買い,-5.0,損切り
2024-04-17 14:55:00,2024-04-17 21:05:00,売り,-5.0,損切り
2024-04-19 10:00:00,2024-04-19 10:05:00,買い,-5.0,損切り
2024-05-02 13:40:00,2024-05-02 14:20:00,売り,20.0,利確
2024-05-09 10:05:00,2024-05-09 10:15:00,買い,-5.0,損切り
2024-05-13 14:15:00,2024-05-13 14:35:00,買い,-5.0,損切り
2024-05-15 11:40:00,2024-05-15 12:00:00,買い,-5.0,損切り
2024-05-15 12:20:00,2024-05-15 14:10:00,売り,20.0,利確
2024-05-31 09:50:00,2024-05-31 09:55:00,売り,-5.0,損切り
2024-05-31 13:55:00,2024-05-31 14:00:00,売り,-5.0,損切り
2024-06-03 11:55:00,2024-06-03 12:55:00,買い,20.0,利確
2024-06-04 09:40:00,2024-06-04 10:35:00,買い,20.0,利確
2024-06-04 13:55:00,2024-06-04 15:00:00,売り,20.0,利確
2024-06-07 13:15:00,2024-06-07 13:40:00,売り,20.0,利確
2024-06-12 10:35:00,2024-06-12 10:40:00,売り,-5.0,損切り
2024-06-12 11:35:00,2024-06-12 19:25:00,買い,20.0,利確
2024-06-17 14:35:00,2024-06-17 14:50:00,買い,-5.0,損切り
2024-06-19 09:00:00,2024-06-19 10:05:00,買い,-5.0,損切り
2024-06-19 14:35:00,2024-06-19 18:30:00,売り,-5.0,損切り
2024-06-20 09:15:00,2024-06-20 09:45:00,買い,-5.0,損切り
2024-06-24 13:30:00,2024-06-24 13:40:00,買い,-5.0,損切り
2024-06-24 13:50:00,2024-06-24 14:00:00,売り,-5.0,損切り
2024-07-11 10:30:00,2024-07-11 10:40:00,買い,-5.0,損切り
2024-07-11 10:50:00,2024-07-11 10:50:00,売り,-5.0,損切り
2024-07-11 11:45:00,2024-07-11 16:35:00,買い,-5.0,損切り
2024-07-12 13:45:00,2024-07-12 14:45:00,売り,20.0,利確
2024-07-15 10:20:00,2024-07-15 10:35:00,売り,20.0,利確
2024-07-18 14:45:00,2024-07-18 14:50:00,売り,-5.0,損切り
2024-07-19 09:30:00,2024-07-19 09:45:00,買い,-5.0,損切り
2024-07-24 10:20:00,2024-07-24 10:40:00,売り,20.0,利確
2024-07-26 09:50:00,2024-07-26 09:50:00,買い,-5.0,損切り
2024-07-26 11:40:00,2024-07-26 11:45:00,買い,-5.0,損切り
2024-07-30 10:00:00,2024-07-30 10:00:00,買い,-5.0,損切り
2024-07-31 14:00:00,2024-07-31 14:00:00,売り,-5.0,損切り
2024-07-31 14:30:00,2024-07-31 14:30:00,買い,20.0,利確
2024-08-02 13:45:00,2024-08-02 14:00:00,売り,20.0,利確
2024-08-08 13:10:00,2024-08-08 13:10:00,売り,-5.0,損切り
