v07判定,v07スコア,判定元,戦略,戦略タイプ,利確pips,損切りpips,時間帯,曜日,トレンド環境,ボラ環境,PF,学習PF,PF乖離,総損益pips,期待値pips/回,勝率%,取引回数,平均利益pips,平均損失pips,最大DD_pips,最大連敗,旧スコア
準候補,48.0,採用候補,"RSI逆張り(期間10, 25/70)",RSI逆張り,25,5,ロンドン(16-21時),金,なし,なし,1.342,1.182,1.1353637901861253,171.0,1.3255813953488371,22.5,129,23.14,-5.0,-145.2,16,65.1
準候補,47.9,採用候補,"BB逆張り(期間14, 2.0σ)",BB逆張り,4,30,全時間,金,順方向のみ,直近30分変動大,1.251,1.138,1.0992970123022847,125.2,0.7195402298850575,89.7,174,4.0,-27.71,-92.0,1,73.3
準候補,47.6,採用候補,"BB逆張り(期間25, 2.0σ)",BB逆張り,15,25,全時間,火,レンジのみ,直近30分変動大,1.16,1.177,0.9855564995751911,223.2,1.344578313253012,66.3,166,14.68,-24.86,-136.8,4,65.3
準候補,47.5,採用候補,"RSI逆張り(期間10, 30/70)",RSI逆張り,8,15,ロンドン(16-21時),金,なし,なし,1.225,1.078,1.1363636363636365,152.6,1.0173333333333332,69.3,150,8.0,-14.77,-87.0,4,69.1
準候補,47.1,採用候補,"BBブレイク(期間20, 2.5σ)",BBブレイク,30,8,ロンドン(16-21時),全曜日,なし,ATR高,1.239,1.059,1.169971671388102,192.1,1.422962962962963,25.2,135,29.29,-7.96,-100.0,11,66.2
準候補,46.5,採用候補,"MACDクロス(8,26,6)",MACDクロス,8,15,全時間,金,レンジのみ,ATR高,1.252,1.067,1.1733833177132147,121.1,1.1110091743119266,69.7,109,7.92,-14.58,-67.0,4,70.2
準候補,45.0,採用候補,"BBブレイク(期間20, 2.0σ)",BBブレイク,15,15,東京(9-15時),全曜日,順方向のみ,直近30分変動大,1.154,1.069,1.079513564078578,462.8,1.0712962962962964,53.5,432,15.0,-14.94,-182.2,6,64.8
準候補,44.9,採用候補,"MACDクロス(16,35,6)",MACDクロス,15,15,東京(9-15時),全曜日,順方向のみ,ATR低,1.187,1.077,1.1021355617455897,177.4,1.2671428571428571,54.3,140,14.82,-14.82,-90.0,4,68.2
準候補,43.4,採用候補,"BBブレイク(期間14, 1.5σ)",BBブレイク,25,8,東京(9-15時),全曜日,順方向のみ,ATR低,1.193,1.199,0.9949958298582152,238.6,1.1046296296296296,27.8,216,24.56,-7.92,-159.0,12,62.6
準候補,43.0,採用候補,"BB逆張り(期間14, 2.0σ)",BB逆張り,15,15,全時間,金,下降のみ,なし,1.155,1.069,1.0804490177736203,308.9,1.0725694444444445,53.5,288,14.95,-14.88,-180.0,6,64.6
準候補,42.7,採用候補,"MACDクロス(12,26,12)",MACDクロス,15,5,ロンドン(16-21時),全曜日,レンジのみ,直近30分変動大,1.248,1.129,1.1054030115146147,170.0,0.8762886597938144,29.4,194,15.0,-5.0,-90.0,12,66.2
準候補,42.6,採用候補,"BBブレイク(期間30, 2.0σ)",BBブレイク,30,12,東京(9-15時),全曜日,上昇のみ,ATR低,1.182,1.131,1.0450928381962865,196.3,1.4328467153284672,32.8,137,28.39,-11.75,-115.3,7,64.7
準候補,38.3,採用候補,"BB逆張り(期間20, 1.5σ)",BB逆張り,20,8,16時台,全曜日,なし,ATR高,1.195,1.061,1.1262959472196044,182.5,1.0488505747126438,32.2,174,20.0,-7.94,-112.0,11,65.0
準候補,38.1,採用候補,"BBブレイク(期間30, 2.0σ)",BBブレイク,4,25,東京(9-15時),全曜日,上昇のみ,ATR低,1.197,1.074,1.1145251396648044,102.4,0.5785310734463277,88.1,177,3.98,-24.69,-83.0,2,70.9
準候補,37.5,採用候補,"RSI逆張り(期間14, 40/70)",RSI逆張り,30,10,ロンドン(16-21時),全曜日,上昇のみ,直近30分変動大,1.184,1.093,1.0832570905763952,178.5,1.2934782608695652,29.7,138,28.01,-10.0,-130.0,10,63.9
準候補,36.6,採用候補,押し目(EMA200+RSI45/60),押し目,20,5,東京(9-15時),全曜日,順方向のみ,ATR低,1.299,1.069,1.215154349859682,115.0,1.1274509803921569,24.5,102,20.0,-5.0,-110.0,21,65.4
準候補,35.2,採用候補,"BBブレイク(期間30, 1.5σ)",BBブレイク,15,5,全時間,月,なし,ATR低,1.202,1.09,1.1027522935779814,143.7,0.7184999999999999,29.0,200,14.72,-5.0,-65.0,13,67.0
準候補,33.7,採用候補,"RSI逆張り(期間7, 25/60)",RSI逆張り,8,15,全時間,金,順方向のみ,直近30分変動大,1.185,1.115,1.062780269058296,116.1,0.8536764705882353,68.4,136,8.0,-14.6,-128.0,3,67.1
準候補,33.6,採用候補,"MACDクロス(8,26,6)",MACDクロス,10,8,東京(9-15時),月,順方向のみ,なし,1.199,1.091,1.0989917506874427,118.0,0.8137931034482758,49.0,145,10.0,-8.0,-92.0,8,65.4
準候補,32.2,採用候補,"MACDクロス(8,21,12)",MACDクロス,25,10,16時台,全曜日,なし,ATR高,1.179,1.168,1.0094178082191783,146.5,1.2008196721311475,32.8,122,24.09,-9.96,-120.0,8,63.5
準候補,31.0,採用候補,"BBブレイク(期間30, 2.0σ)",BBブレイク,25,12,全時間,木,順方向のみ,ATR高,1.162,1.152,1.0086805555555556,153.1,1.2346774193548387,35.5,124,25.0,-11.84,-141.6,7,63.2
準候補,30.6,採用候補,"RSI逆張り(期間7, 25/75)",RSI逆張り,6,20,全時間,火,順方向のみ,なし,1.16,1.087,1.0671573137074517,109.9,0.6541666666666667,79.2,168,6.0,-19.66,-74.0,3,69.2
準候補,29.4,採用候補,"MACDクロス(8,26,6)",MACDクロス,15,8,全時間,木,順方向のみ,ATR高,1.16,1.183,0.9805579036348266,151.0,0.7905759162303665,38.2,191,15.0,-8.0,-101.0,9,63.6
準候補,29.4,採用候補,"BBブレイク(期間25, 2.0σ)",BBブレイク,15,5,東京(9-15時),全曜日,順方向のみ,ATR低,1.191,1.146,1.0392670157068065,130.0,0.6842105263157895,28.4,190,15.0,-5.0,-80.0,16,64.9
準候補,29.2,採用候補,押し目(EMA200+RSI40/55),押し目,25,8,東京(9-15時),木,なし,なし,1.189,1.076,1.1050185873605949,139.0,1.094488188976378,27.6,127,25.0,-8.0,-133.0,8,64.1
準候補,28.1,採用候補,"EMAクロス(12,30)",EMAクロス,12,12,全時間,月,下降のみ,なし,1.167,1.271,0.9181746656176241,124.4,0.9147058823529413,54.4,136,11.74,-12.0,-120.0,6,62.8
準候補,27.6,採用候補,"MACDクロス(16,35,9)",MACDクロス,10,5,ロンドン(16-21時),全曜日,なし,ATR低,1.178,1.149,1.0252393385552654,115.9,0.5599033816425121,37.2,207,9.95,-5.0,-55.0,9,66.8
準候補,26.0,採用候補,"EMAクロス(5,50)",EMAクロス,15,5,東京(9-15時),全曜日,なし,ATR高,1.172,1.126,1.0408525754884548,145.0,0.6170212765957447,28.1,235,15.0,-5.0,-105.0,17,63.9
準候補,24.5,採用候補,"MACDクロス(12,26,6)",MACDクロス,20,12,10時台,全曜日,なし,直近30分変動大,1.154,1.055,1.0938388625592417,144.0,1.0909090909090908,40.9,132,20.0,-12.0,-176.0,7,63.3
準候補,22.9,採用候補,"RSI逆張り(期間14, 30/65)",RSI逆張り,5,30,全時間,金,下降のみ,なし,1.156,1.086,1.0644567219152854,75.0,0.5905511811023622,87.4,127,5.0,-30.0,-105.0,2,68.2
準候補,19.9,採用候補,"MACDクロス(16,35,6)",MACDクロス,10,5,東京(9-15時),全曜日,順方向のみ,ATR低,1.162,1.159,1.0025884383088868,85.0,0.5120481927710844,36.7,166,10.0,-5.0,-45.0,9,66.6
準候補,19.4,採用候補,"RSI逆張り(期間7, 20/80)",RSI逆張り,25,5,全時間,全曜日,順方向のみ,直近30分変動大,1.156,1.1,1.0509090909090908,145.0,0.6331877729257642,18.8,229,25.0,-5.0,-185.0,27,61.9
準候補,14.4,採用候補,"RSI逆張り(期間7, 30/65)",RSI逆張り,30,5,東京(9-15時),金,なし,ATR高,1.166,1.204,0.96843853820598,93.1,0.694776119402985,16.4,134,29.69,-5.0,-105.0,18,61.7
準候補,9.3,採用候補,"MACDクロス(12,21,6)",MACDクロス,25,5,東京(9-15時),木,下降のみ,なし,1.151,1.061,1.0848256361922715,95.0,0.6129032258064516,18.7,155,25.0,-5.0,-170.0,21,61.5
