gap_start,gap_end,gap_minutes,missing_bars,type
2023-05-12 20:55:00+00:00,2023-05-14 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-05-19 20:55:00+00:00,2023-05-21 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-05-26 20:55:00+00:00,2023-05-28 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-06-02 20:55:00+00:00,2023-06-04 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-06-09 20:55:00+00:00,2023-06-11 21:05:00+00:00,2890.0,577,週末休場(正常)
2023-06-16 20:55:00+00:00,2023-06-18 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-06-23 20:55:00+00:00,2023-06-25 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-06-25 21:30:00+00:00,2023-06-25 21:40:00+00:00,10.0,1,要確認
2023-06-30 20:55:00+00:00,2023-07-02 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-07-04 21:10:00+00:00,2023-07-04 21:25:00+00:00,15.0,2,要確認
2023-07-07 20:55:00+00:00,2023-07-09 21:05:00+00:00,2890.0,577,週末休場(正常)
2023-07-09 21:30:00+00:00,2023-07-09 21:40:00+00:00,10.0,1,要確認
2023-07-14 20:55:00+00:00,2023-07-16 21:05:00+00:00,2890.0,577,週末休場(正常)
2023-07-21 20:55:00+00:00,2023-07-23 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-07-28 20:55:00+00:00,2023-07-30 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-08-04 20:55:00+00:00,2023-08-06 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-08-11 20:55:00+00:00,2023-08-13 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-08-13 21:30:00+00:00,2023-08-13 21:40:00+00:00,10.0,1,要確認
2023-08-18 20:55:00+00:00,2023-08-20 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-08-25 20:55:00+00:00,2023-08-27 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-09-01 20:55:00+00:00,2023-09-03 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-09-04 17:00:00+00:00,2023-09-04 17:10:00+00:00,10.0,1,要確認
2023-09-08 20:55:00+00:00,2023-09-10 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-09-15 20:55:00+00:00,2023-09-17 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-09-22 20:55:00+00:00,2023-09-24 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-09-29 20:55:00+00:00,2023-10-01 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-10-06 20:55:00+00:00,2023-10-08 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-10-13 20:55:00+00:00,2023-10-15 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-10-20 20:55:00+00:00,2023-10-22 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-10-27 20:55:00+00:00,2023-10-29 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-11-03 20:55:00+00:00,2023-11-05 22:00:00+00:00,2945.0,588,週末休場(正常)
2023-11-10 21:55:00+00:00,2023-11-12 22:00:00+00:00,2885.0,576,週末休場(正常)
2023-11-17 21:55:00+00:00,2023-11-19 22:00:00+00:00,2885.0,576,週末休場(正常)
2023-11-24 21:55:00+00:00,2023-11-26 22:00:00+00:00,2885.0,576,週末休場(正常)
2023-11-29 14:15:00+00:00,2023-11-29 14:35:00+00:00,20.0,3,要確認
2023-12-01 21:55:00+00:00,2023-12-03 22:00:00+00:00,2885.0,576,週末休場(正常)
2023-12-08 21:55:00+00:00,2023-12-10 22:00:00+00:00,2885.0,576,週末休場(正常)
2023-12-15 21:55:00+00:00,2023-12-17 22:00:00+00:00,2885.0,576,週末休場(正常)
2023-12-22 21:55:00+00:00,2023-12-24 23:30:00+00:00,2975.0,594,週末休場(正常)
2023-12-25 03:35:00+00:00,2023-12-25 03:45:00+00:00,10.0,1,要確認
2023-12-25 07:15:00+00:00,2023-12-25 07:30:00+00:00,15.0,2,要確認
2023-12-25 07:30:00+00:00,2023-12-25 07:40:00+00:00,10.0,1,要確認
2023-12-25 07:55:00+00:00,2023-12-25 22:00:00+00:00,845.0,168,要確認
2023-12-29 21:55:00+00:00,2024-01-01 22:00:00+00:00,4325.0,864,要確認
2024-01-05 21:55:00+00:00,2024-01-07 22:05:00+00:00,2890.0,577,週末休場(正常)
2024-01-12 21:55:00+00:00,2024-01-14 22:00:00+00:00,2885.0,576,週末休場(正常)
2024-01-19 21:55:00+00:00,2024-01-21 22:00:00+00:00,2885.0,576,週末休場(正常)
2024-01-26 21:55:00+00:00,2024-01-28 22:00:00+00:00,2885.0,576,週末休場(正常)
2024-02-02 21:55:00+00:00,2024-02-04 22:00:00+00:00,2885.0,576,週末休場(正常)
2024-02-09 21:55:00+00:00,2024-02-11 22:00:00+00:00,2885.0,576,週末休場(正常)
2024-02-16 21:55:00+00:00,2024-02-18 22:00:00+00:00,2885.0,576,週末休場(正常)
2024-02-23 21:55:00+00:00,2024-02-25 22:00:00+00:00,2885.0,576,週末休場(正常)
2024-03-01 21:55:00+00:00,2024-03-03 22:00:00+00:00,2885.0,576,週末休場(正常)
2024-03-08 21:55:00+00:00,2024-03-10 21:00:00+00:00,2825.0,564,週末休場(正常)
2024-03-15 20:55:00+00:00,2024-03-17 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-03-22 20:55:00+00:00,2024-03-24 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-03-29 20:55:00+00:00,2024-03-31 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-04-05 20:55:00+00:00,2024-04-07 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-04-12 20:55:00+00:00,2024-04-14 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-04-19 20:55:00+00:00,2024-04-21 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-04-26 20:55:00+00:00,2024-04-28 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-05-03 20:55:00+00:00,2024-05-05 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-05-10 20:55:00+00:00,2024-05-12 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-05-17 20:55:00+00:00,2024-05-19 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-05-24 20:55:00+00:00,2024-05-26 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-05-31 20:55:00+00:00,2024-06-02 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-06-07 20:55:00+00:00,2024-06-09 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-06-14 20:55:00+00:00,2024-06-16 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-06-21 20:55:00+00:00,2024-06-23 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-06-28 20:55:00+00:00,2024-06-30 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-07-05 20:55:00+00:00,2024-07-07 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-07-12 20:55:00+00:00,2024-07-14 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-07-19 20:55:00+00:00,2024-07-21 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-07-26 20:55:00+00:00,2024-07-28 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-08-02 20:55:00+00:00,2024-08-04 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-08-09 20:55:00+00:00,2024-08-11 21:05:00+00:00,2890.0,577,週末休場(正常)
2024-08-16 20:55:00+00:00,2024-08-18 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-08-23 20:55:00+00:00,2024-08-25 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-08-30 20:55:00+00:00,2024-09-01 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-09-01 21:15:00+00:00,2024-09-01 21:25:00+00:00,10.0,1,要確認
2024-09-06 20:55:00+00:00,2024-09-08 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-09-13 20:55:00+00:00,2024-09-15 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-09-20 20:55:00+00:00,2024-09-22 21:05:00+00:00,2890.0,577,週末休場(正常)
2024-09-27 20:55:00+00:00,2024-09-29 21:05:00+00:00,2890.0,577,週末休場(正常)
2024-09-29 21:15:00+00:00,2024-09-29 21:30:00+00:00,15.0,2,要確認
2024-10-04 20:55:00+00:00,2024-10-06 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-10-11 20:55:00+00:00,2024-10-13 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-10-18 20:55:00+00:00,2024-10-20 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-10-23 21:05:00+00:00,2024-10-23 21:15:00+00:00,10.0,1,要確認
2024-10-23 21:30:00+00:00,2024-10-23 21:45:00+00:00,15.0,2,要確認
2024-10-25 20:55:00+00:00,2024-10-27 21:00:00+00:00,2885.0,576,週末休場(正常)
2024-10-29 21:40:00+00:00,2024-10-29 21:50:00+00:00,10.0,1,要確認
2024-11-01 20:55:00+00:00,2024-11-03 22:00:00+00:00,2945.0,588,週末休場(正常)
2024-11-08 21:55:00+00:00,2024-11-10 22:00:00+00:00,2885.0,576,週末休場(正常)
2024-11-15 21:55:00+00:00,2024-11-17 22:00:00+00:00,2885.0,576,週末休場(正常)
2024-11-19 22:10:00+00:00,2024-11-19 22:20:00+00:00,10.0,1,要確認
2024-11-21 17:00:00+00:00,2024-11-21 17:10:00+00:00,10.0,1,要確認
2024-11-22 21:55:00+00:00,2024-11-24 22:00:00+00:00,2885.0,576,週末休場(正常)
2024-11-28 21:55:00+00:00,2024-11-28 22:05:00+00:00,10.0,1,要確認
2024-11-28 22:15:00+00:00,2024-11-28 22:25:00+00:00,10.0,1,要確認
2024-11-29 21:55:00+00:00,2024-12-01 22:00:00+00:00,2885.0,576,週末休場(正常)
2024-12-06 21:55:00+00:00,2024-12-08 22:00:00+00:00,2885.0,576,週末休場(正常)
2024-12-10 22:00:00+00:00,2024-12-10 22:15:00+00:00,15.0,2,要確認
2024-12-13 21:55:00+00:00,2024-12-15 22:00:00+00:00,2885.0,576,週末休場(正常)
2024-12-17 15:05:00+00:00,2024-12-17 16:50:00+00:00,105.0,20,要確認
2024-12-20 21:55:00+00:00,2024-12-22 22:00:00+00:00,2885.0,576,週末休場(正常)
2024-12-24 22:05:00+00:00,2024-12-24 22:40:00+00:00,35.0,6,要確認
